id,semana,fecha,fecha_publicada,formato,tipo_recurso,redes,titulo,asset,copy,estado,estado_aprobacion,nota_revision
1,Semana 1,2026-07-16,2026-07-16,2x,Imagen,"Facebook,Instagram","Maletas listas? Viaja tranquilo","../2x/1Vacaciones.png","Salir de vacaciones se disfruta más cuando sabes que tu casa está protegida. Monitoreo 24/7, alertas y respuesta inmediata para disfrutar tranquilo. Escríbenos al 0967793615.",Publicado,aprobado,"Publicada según captura"
2,Semana 1,2026-07-18,2026-07-18,2x,Imagen,"Facebook,Instagram","¿Auto nuevo? Protégelo desde el primer día","../2x/3Auto Nuevo.png","¿Auto nuevo? Protégelo desde el primer día. Con Jasetron conoce su ubicación en tiempo real y cuida tu inversión desde que sale del concesionario. WhatsApp 0967793615.",Publicado,aprobado,"Publicada según captura"
3,Semana 1,2026-07-22,2026-07-22,2x,Imagen,"Facebook,Instagram","¿Quién puede ver tu ubicación?","../2x/5Ubicacion.png","Tu celular puede decir dónde estás sin que te des cuenta. Protege tu vehículo con ubicación en tiempo real, alertas y control desde tu celular. Solicita información al 0967793615.",Publicado,aprobado,"Publicada según captura"
4,Semana 1,2026-08-07,,Reel,Video,"Facebook,Instagram","Cerco eléctrico: disuasión y alerta","../Reels/Cerco Electrico.mp4","Un perímetro protegido no depende de la suerte. El cerco eléctrico disuade, alerta y se integra al monitoreo 24/7. Solicita una inspección técnica al 0967793615.",Programado,aprobado,"Un reel para completar la semana"
5,Semana 2,2026-08-10,,2x,Imagen,"Facebook,Instagram","Mujer de vacaciones, casa protegida","../2x/7Mujer Vacaciones.png","Salir de viaje no significa dejar tu casa a la suerte. Revisa accesos, recibe alertas y cuenta con monitoreo 24/7. Agenda una inspección al 0967793615.",Programado,aprobado,"Usar solo la versión impar"
6,Semana 2,2026-08-12,,2x,Imagen,"Facebook,Instagram","¿Un cerco eléctrico es mortal?","../2x/9Cerco Electrico.png","Un cerco eléctrico bien diseñado está pensado para disuadir y alertar, no para improvisar. Con instalación profesional y monitoreo 24/7, protege tu perímetro. Agenda una inspección al 0967793615.",Programado,aprobado,"Usar solo la versión impar"
7,Semana 2,2026-08-13,,Reel,Video,"Facebook,Instagram","Checklist antes de salir","../Reels/Check list.mp4","Antes de salir, revisa accesos y sistemas de seguridad. La prevención empieza con pequeños hábitos y se fortalece con monitoreo 24/7. Escríbenos al 0967793615.",Programado,aprobado,"Un reel para completar la semana"
8,Semana 2,2026-08-14,,2x,Imagen,"Facebook,Instagram","El checklist que evita dejar tu casa expuesta","../2x/11Check List.png","Antes de viajar, revisa accesos, cámaras, alarmas y puntos vulnerables. Un buen checklist reduce riesgos y te ayuda a salir con tranquilidad. Agenda una revisión al 0967793615.",Programado,aprobado,"Usar solo la versión impar"
9,Semana 3,2026-08-17,,2x,Imagen,"Facebook,Instagram","La basura también puede revelar tus rutinas","../2x/13Basura.png","Tus hábitos pueden entregar información sobre tu casa. Evita exponer rutinas y combina prevención con monitoreo 24/7. Protege tu hogar con Jasetron: 0967793615.",Programado,aprobado,"Usar solo la versión impar"
10,Semana 3,2026-08-19,,2x,Imagen,"Facebook,Instagram","Rastrea lo que más te importa","../2x/15Reastrearlo .png","Con GPS Jasetron conoce la ubicación de tu vehículo en tiempo real, recibe alertas y actúa antes de que el riesgo avance. Solicita información al 0967793615.",Programado,aprobado,"Usar solo la versión impar"
